CGPA,Coding_Level,ML_Knowledge,Math_Score,Communication,Projects,Interest_AI,Interest_Web,Interest_Core,Research_Interest,Management_Interest,Higher_Ed_Interest,Career_Path,Final_Recommendation
6.35,5,4,4,3,3,4,1,2,2,1,1,Job,Data Scientist
6.49,1,1,2,2,0,2,5,2,3,5,2,Job,Software Engineer
6.99,4,4,3,5,1,4,4,2,3,5,2,Job,AI Engineer
9.58,3,2,5,4,5,5,4,5,1,2,4,Higher Education,MTech
6.54,5,3,5,4,1,3,1,2,5,3,2,Job,Software Engineer
5.54,1,1,1,4,2,3,1,2,4,4,3,Job,Management Role
9.99,5,4,5,3,1,1,5,3,3,2,3,Job,Web Developer
9.76,2,3,1,5,3,4,4,4,5,3,3,Job,Management Role
9.3,1,2,5,3,1,5,5,4,4,2,4,Higher Education,PhD / Research
5.08,3,3,4,2,2,4,5,1,4,4,4,Higher Education,PhD / Research
8.88,1,2,4,1,3,1,4,3,3,4,2,Job,Software Engineer
7.78,5,2,3,4,3,5,3,2,2,2,1,Job,AI Engineer
6.14,2,3,4,4,3,5,4,2,3,2,5,Higher Education,MTech
6.03,3,4,2,5,1,3,1,5,4,5,4,Higher Education,MBA
8.26,4,4,3,3,5,2,3,3,1,1,4,Higher Education,MTech
9.08,5,3,2,1,1,2,4,3,5,5,4,Higher Education,MTech
5.99,4,5,3,1,3,1,4,2,4,1,1,Job,Web Developer
6.4,2,3,4,2,3,4,4,5,3,1,1,Job,Software Engineer
6.95,3,5,5,1,5,5,5,5,5,2,5,Higher Education,PhD / Research
9.28,2,1,5,5,1,5,1,4,3,3,4,Higher Education,MTech
5.87,2,5,2,4,2,1,5,2,4,5,1,Job,Management Role
8.26,5,2,1,5,0,5,1,3,1,1,4,Higher Education,MTech
6.03,4,1,2,5,1,5,1,2,1,3,5,Higher Education,MTech
5.71,1,1,3,5,4,4,4,1,3,2,1,Job,Management Role
9.23,2,1,2,4,1,1,4,2,3,2,4,Higher Education,MTech
6.72,3,5,1,3,0,2,2,3,1,5,1,Job,Software Engineer
5.26,1,1,2,5,4,2,5,2,5,2,1,Job,Management Role
6.73,5,2,2,1,1,5,2,5,2,1,3,Job,AI Engineer
7.77,2,4,1,5,3,5,4,4,2,2,3,Job,Management Role
7.34,5,4,3,3,0,4,2,2,5,5,4,Higher Education,MS in AI / Data Science
8.04,3,3,4,4,5,4,5,1,2,1,1,Job,Software Engineer
7.65,2,4,2,2,2,5,2,3,3,3,2,Job,Software Engineer
8.41,5,2,4,1,1,1,3,2,1,2,1,Job,Software Engineer
9.15,5,5,4,4,5,4,2,1,2,3,4,Higher Education,MS in AI / Data Science
7.98,4,4,2,2,2,4,1,5,3,3,3,Job,AI Engineer
7.43,4,5,1,5,5,3,2,4,5,2,1,Job,Software Engineer
6.2,1,4,4,3,3,2,3,4,5,5,2,Job,Software Engineer
5.47,3,2,1,4,1,4,4,4,2,1,1,Job,Software Engineer
5.74,1,2,5,3,2,2,1,3,5,1,1,Job,Software Engineer
6.08,2,1,4,5,1,5,5,3,4,3,5,Higher Education,PhD / Research
8.05,1,3,4,2,1,5,1,4,4,1,3,Job,Software Engineer
6.25,2,4,2,2,4,4,1,5,3,5,5,Higher Education,MS in AI / Data Science
6.06,3,3,3,4,0,4,5,1,5,1,5,Higher Education,MTech
5.84,3,4,3,5,5,5,1,2,1,4,2,Job,Software Engineer
5.72,3,5,3,3,5,1,1,2,3,5,1,Job,Software Engineer
6.53,2,1,5,4,4,1,2,1,1,5,1,Job,Management Role
8.69,5,5,1,3,5,4,5,5,5,2,5,Higher Education,MS in AI / Data Science
6.4,5,5,4,2,0,3,5,3,5,5,5,Higher Education,PhD / Research
7.88,4,5,4,3,3,2,2,5,4,3,5,Higher Education,PhD / Research
8.63,5,3,2,1,1,4,5,2,3,5,2,Job,AI Engineer
7.63,1,5,3,3,1,3,3,4,4,4,1,Job,Software Engineer
9.41,3,1,5,5,5,1,2,1,3,4,1,Job,Software Engineer
9.68,4,3,3,4,3,3,4,4,5,2,5,Higher Education,MTech
7.47,2,5,2,5,2,2,4,1,1,1,5,Higher Education,MTech
9.61,2,5,2,2,2,2,4,5,1,4,5,Higher Education,MTech
6.19,5,2,1,1,3,4,2,3,3,5,3,Job,AI Engineer
9.28,4,4,5,5,2,3,1,4,2,3,5,Higher Education,MTech
5.68,2,3,5,2,4,1,2,4,2,4,4,Higher Education,MTech
7.35,3,5,5,2,0,1,4,3,4,2,1,Job,Software Engineer
5.5,1,2,5,1,4,1,4,5,2,5,3,Job,Software Engineer
6.01,3,3,1,1,1,5,2,4,1,1,2,Job,Software Engineer
8.33,5,3,2,3,0,4,1,2,4,5,1,Job,AI Engineer
8.44,4,2,4,4,1,4,4,1,3,5,4,Higher Education,MBA
9.57,3,5,4,5,3,1,2,3,3,1,4,Higher Education,MTech
5.34,1,2,3,5,4,5,4,2,5,3,2,Job,Management Role
8.27,1,2,1,4,0,4,2,2,3,4,4,Higher Education,MBA
6.18,4,5,5,5,4,1,5,3,2,3,4,Higher Education,MTech
8.96,2,2,4,4,0,2,3,4,1,3,5,Higher Education,MTech
8.2,3,4,4,3,5,3,4,4,3,4,1,Job,Software Engineer
9.27,4,5,5,4,5,3,5,4,3,2,5,Higher Education,MTech
6.36,4,1,2,2,5,2,4,5,2,2,2,Job,Web Developer
5.53,2,4,5,4,3,1,3,5,5,4,2,Job,Management Role
6.3,2,1,4,2,1,2,3,4,1,4,1,Job,Software Engineer
6.33,1,2,3,3,2,3,2,3,4,2,1,Job,Software Engineer
9.7,1,2,4,5,2,5,1,2,4,5,1,Job,Management Role
5.37,3,2,4,1,4,5,2,2,4,4,4,Higher Education,PhD / Research
7.53,2,5,5,2,1,2,4,1,4,5,4,Higher Education,PhD / Research
8.47,2,2,5,3,3,3,2,5,2,3,3,Job,Software Engineer
9.57,1,5,5,5,2,5,3,5,2,5,1,Job,Data Scientist
8.53,4,4,4,1,3,4,4,5,3,3,2,Job,Data Scientist
6.1,3,2,5,5,4,3,1,5,3,5,4,Higher Education,MBA
5.29,5,2,4,4,0,4,2,1,5,1,5,Higher Education,PhD / Research
7.39,2,5,1,3,1,4,1,4,2,4,5,Higher Education,MS in AI / Data Science
7.53,5,1,5,1,3,2,3,4,4,3,4,Higher Education,PhD / Research
7.35,1,3,5,4,4,1,1,3,3,2,5,Higher Education,MTech
9.62,5,3,5,3,1,3,1,4,3,1,2,Job,Software Engineer
9.2,2,4,3,2,1,1,5,2,4,4,2,Job,Software Engineer
9.35,3,3,2,2,0,4,1,4,5,3,2,Job,Software Engineer
6.52,1,1,5,2,2,2,1,5,5,3,4,Higher Education,PhD / Research
5.02,4,2,1,3,5,3,1,4,2,1,5,Higher Education,MTech
9.49,2,1,1,1,1,4,1,3,4,4,5,Higher Education,MTech
6.73,4,1,1,4,0,1,2,2,5,5,1,Job,Software Engineer
6.33,1,3,3,4,5,5,3,2,3,1,3,Job,Management Role
7.29,5,1,5,2,1,2,2,3,3,3,5,Higher Education,MTech
7.12,5,3,2,2,4,3,4,1,3,1,1,Job,Web Developer
6.22,1,2,5,3,4,5,5,2,2,1,4,Higher Education,MTech
8.01,3,4,5,3,5,1,5,4,1,3,4,Higher Education,MTech
8.99,5,4,5,2,2,3,1,5,4,1,1,Job,Software Engineer
8.57,4,1,4,2,1,1,2,4,3,2,4,Higher Education,MTech
6.21,1,2,1,4,2,2,4,1,3,2,5,Higher Education,MTech
7.11,2,3,2,3,3,2,2,3,4,2,5,Higher Education,MTech
9.86,5,3,1,1,4,2,3,2,5,4,2,Job,Software Engineer
8.47,1,5,5,1,0,4,3,4,5,1,4,Higher Education,PhD / Research
6.67,2,2,2,4,5,1,1,3,4,1,3,Job,Management Role
6.74,1,5,5,3,4,3,3,4,1,3,5,Higher Education,MTech
8.69,5,1,4,5,0,1,1,5,4,1,5,Higher Education,PhD / Research
5.47,4,4,5,5,5,4,3,3,3,1,5,Higher Education,MS in AI / Data Science
5.72,3,3,4,1,1,3,4,2,4,3,4,Higher Education,PhD / Research
7.12,2,1,1,2,2,5,2,2,5,2,1,Job,Software Engineer
7.01,2,5,5,1,0,1,5,2,5,4,4,Higher Education,PhD / Research
6.71,5,2,5,5,5,4,5,1,3,5,2,Job,AI Engineer
7.46,4,1,2,4,5,2,1,1,5,3,1,Job,Software Engineer
9.16,2,4,3,4,4,2,4,4,3,5,4,Higher Education,MBA
5.9,2,2,2,4,4,5,1,1,4,1,4,Higher Education,MTech
5.54,4,2,4,1,4,1,4,3,2,2,4,Higher Education,MTech
8.23,4,2,2,4,2,2,2,3,5,3,4,Higher Education,MTech
5.65,5,2,3,3,2,2,2,5,1,3,3,Job,Software Engineer
7.5,1,1,4,5,2,2,1,2,3,2,3,Job,Management Role
7.29,3,3,4,1,3,2,5,2,5,1,5,Higher Education,PhD / Research
